2025-12-12 18:27:09,506 INFO    MainThread:1711459 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_setup.py:_flush():80] Configure stats pid to 1711459
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_setup.py:_flush():80] Loading settings from /hdd3/albertwu/.config/wandb/settings
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_setup.py:_flush():80] Loading settings from /hdd3/albertwu/mini_rlvr/wandb/settings
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /hdd3/albertwu/mini_rlvr/wandb/run-20251212_182709-52wa4prz/logs/debug.log
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /hdd3/albertwu/mini_rlvr/wandb/run-20251212_182709-52wa4prz/logs/debug-internal.log
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_init.py:init():841] calling init triggers
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'model_name': 'HuggingFaceAlbert/Qwen3-1.7B-grpo-1765505298', 'max_new_tokens': 512, 'temperature': 0.2, 'top_p': 0.95, 'device': 'cuda', 'test_sample_percentage': 0.1, 'batch_size': 1, '_wandb': {}}
2025-12-12 18:27:09,507 INFO    MainThread:1711459 [wandb_init.py:init():889] starting backend
2025-12-12 18:27:09,744 INFO    MainThread:1711459 [wandb_init.py:init():892] sending inform_init request
2025-12-12 18:27:09,748 INFO    MainThread:1711459 [wandb_init.py:init():900] backend started and connected
2025-12-12 18:27:09,749 INFO    MainThread:1711459 [wandb_init.py:init():970] updated telemetry
2025-12-12 18:27:09,754 INFO    MainThread:1711459 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-12 18:27:10,183 INFO    MainThread:1711459 [wandb_init.py:init():1041] starting run threads in backend
2025-12-12 18:27:10,268 INFO    MainThread:1711459 [wandb_run.py:_console_start():2521] atexit reg
2025-12-12 18:27:10,268 INFO    MainThread:1711459 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-12 18:27:10,268 INFO    MainThread:1711459 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-12 18:27:10,268 INFO    MainThread:1711459 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-12 18:27:10,270 INFO    MainThread:1711459 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-12 18:27:44,486 INFO    wandb-AsyncioManager-main:1711459 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-12 18:27:44,486 INFO    wandb-AsyncioManager-main:1711459 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
